Product Name,Original_price,Offer_price,percentage,Brand,assurance,products_link
DROGO M SS 19 Running Shoes For Men,"1,899","2,699",29% off,ADIDAS,True,https://www.flipkart.com/adidas-drogo-m-ss-19-running-shoes-men/p/itmfd3huurxgjhzy?pid=SHOFD3HUP2BZPZ32&lid=LSTSHOFD3HUP2BZPZ32ZOQBVS&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=b971b00c-f6c6-46ad-9bbc-8b7814b8c64a.SHOFD3HUP2BZPZ32.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
Kray 2 M Running Shoes For Men,"2,529","4,599",45% off,ADIDAS,True,https://www.flipkart.com/adidas-kray-2-m-running-shoes-men/p/itmfhwpad8tzgvtb?pid=SHOFHWPE7SQEFHCJ&lid=LSTSHOFHWPE7SQEFHCJ7F1HTI&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=a8d76c95-bdd3-4391-a1a6-8fe07672aa50.SHOFHWPE7SQEFHCJ.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
KYRIS M Running Shoes For Men,"1,954","4,599",57% off,ADIDAS,True,https://www.flipkart.com/adidas-kyris-m-running-shoes-men/p/itmf7g8hvt4jgu7s?pid=SHOF7G8HXZZGU6G2&lid=LSTSHOF7G8HXZZGU6G2JEBLJ2&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=52830eb7-30b8-4c52-93d2-ed34f7d1542c.SHOF7G8HXZZGU6G2.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
Kray 2 M Running Shoes For Men,"2,529","4,599",45% off,ADIDAS,True,https://www.flipkart.com/adidas-kray-2-m-running-shoes-men/p/itmfhwpaxma3cyzg?pid=SHOFHWPASRSZC7VT&lid=LSTSHOFHWPASRSZC7VTXM1XAE&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=30c2a8f9-2011-4004-bde6-0ac5619f09b1.SHOFHWPASRSZC7VT.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
HYPERON M SS 19 Running Shoes For Men,"1,799","2,999",40% off,ADIDAS,True,https://www.flipkart.com/adidas-hyperon-m-ss-19-running-shoes-men/p/itmfd3htgp4hzgcz?pid=SHOFD3HTYWZYQPY5&lid=LSTSHOFD3HTYWZYQPY5HPMRAC&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=8f79aea8-3daf-419f-860a-8947829c8159.SHOFD3HTYWZYQPY5.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
HYPERON M SS 19 Running Shoes For Men,"1,799","2,999",40% off,ADIDAS,True,https://www.flipkart.com/adidas-hyperon-m-ss-19-running-shoes-men/p/itmfd3hrvjshwh97?pid=SHOFD3HRFHVS8NVU&lid=LSTSHOFD3HRFHVS8NVUQXVA0I&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c7b0911f-0bf6-4eef-bf40-69124f9d9037.SHOFD3HRFHVS8NVU.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
HELLION Z M Running Shoes For Men,"1,880","3,299",43% off,ADIDAS,True,https://www.flipkart.com/adidas-hellion-z-m-running-shoes-men/p/itmfbzrjwzvdb3yx?pid=SHOFBZWAWFXFJMAR&lid=LSTSHOFBZWAWFXFJMARYWZ2OS&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ab904018-2b16-44ec-a86a-f08fc8e58ea8.SHOFBZWAWFXFJMAR.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
Raddis 1.0 MS Running Shoes For Men,"3,359","5,599",40% off,ADIDAS,True,https://www.flipkart.com/adidas-raddis-1-0-ms-running-shoes-men/p/itmfhwpcuxjezayz?pid=SHOFHWPEWZAH4DSK&lid=LSTSHOFHWPEWZAH4DSKKXHR6K&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=52632482-e1aa-4f66-9f7b-9454405d2aea.SHOFHWPEWZAH4DSK.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
DROGO M SS 19 Running Shoes For Men,"1,899","2,699",29% off,ADIDAS,True,https://www.flipkart.com/adidas-drogo-m-ss-19-running-shoes-men/p/itmfd3hutku7nmxh?pid=SHOFD3G3FYFRFATQ&lid=LSTSHOFD3G3FYFRFATQVDMA49&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=68294060-249e-4a3b-a61d-d3dc1eff9737.SHOFD3G3FYFRFATQ.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ZELT SL 2.0 M SS 19 Running Shoes For Men,"2,783","4,799",42% off,ADIDAS,True,https://www.flipkart.com/adidas-zelt-sl-2-0-m-ss-19-running-shoes-men/p/itmfd3hu4rvsbsze?pid=SHOFD4G3HG8DRYRU&lid=LSTSHOFD4G3HG8DRYRULD57RK&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=5935f8fc-27fb-4da1-934c-adabb2e9e20c.SHOFD4G3HG8DRYRU.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
